id,number,title,code_blocks,labels_raw,component,type,priority,state,created_at,closed_at,resolution_hours,author,num_comments,num_assignees,repo,res_bucket,tfidf_top1,tfidf_top1_conf,tfidf_top2,tfidf_top2_conf,tfidf_top3,tfidf_top3_conf,bge_similar_1,bge_similar_1_score,bge_similar_2,bge_similar_2_score,bge_similar_3,bge_similar_3_score,stratum,label_status,body_excerpt
135717183,3313,Screen reader misses out '!' when reading lines of code,,['accessibility'],accessibility,,,closed,2016-02-23 11:57:56+00:00,2016-02-23 12:19:14+00:00,0.355,stevencl,1,1,microsoft/vscode,hours,accessibility,0.4314,suggest,0.0537,debug,0.0306,2623,0.7457,2258,0.728,2360,0.7143,vsc-hours-accessibility,pending,"Screen reader turned on using NVDA

I arrow down to this line

if (!containsFunctionSig) {

The screen reader says ""if containsFunctionSig"" - i.e., it misses out the crucial '!' symbol.

Found when testing #3247"
142421221,4516,Selecting install extension then clicking Readme shows two conflicting dialogs,,['extensions' '*duplicate'],extensions,,,closed,2016-03-21 17:47:30+00:00,2016-03-22 12:14:36+00:00,18.451666666666668,vsccarl,1,1,microsoft/vscode,hours,extensions,0.1703,l10n-platform,0.0873,suggest,0.0729,4518,0.8494,4282,0.8218,1411,0.8168,vsc-hours-extensions,pending,"- VSCode Version: 0.10.12-alpha
- OS Version: Windows 10

Steps to Reproduce:
1. F1 -> Install extension
2. Click install button
3. Click Readme button
4. Click out of the command window

Actual:
Two notifications come up. One asking if you would like to install that extension (which you already hav"
126215576,1960,[html] Cannot read property 'attributes' of undefined in htmlTags,,['bug' 'verified' 'html'],html,bug,,closed,2016-01-12 16:20:57+00:00,2016-01-12 16:21:43+00:00,0.012777777777777779,aeschli,1,1,microsoft/vscode,hours,html,0.1101,error-telemetry,0.085,javascript,0.0562,311074,0.7857,1154,0.7807,311073,0.7781,vsc-hours-html,pending,"Found in the console:

TypeError: Cannot read property 'attributes' of undefined: TypeError: Cannot read property 'attributes' of undefined
 at Object.collectAttributes (file:///home/martinae/workspaces/vscode/out/vs/languages/html/common/htmlTags.js:220:60)
 at file:///home/martinae/workspaces/vsco"
128448825,2212,VS Code cannot update itself if the user is not an administrator,"```
1/24/16 18:51:15.361 ShipIt[47813]: Beginning installation
1/24/16 18:51:15.375 ShipIt[47813]: Couldn't abort install and restore owned bundle to previous location file:///Applications/Visual%20Studio%20Code.app, error NSError { domain: NSPOSIXErrorDomain, code: 2, description: ""No such file or directory"" }
1/24/16 18:51:17.223 ShipIt[47813]: Installation error: Error Domain=NSPOSIXErrorDomain Code=13 ""Permission denied"" UserInfo={NSLocalizedDescription=Permission denied}
1/24/16 18:51:17.223 ShipIt[47813]: ShipIt quitting
```",['verified' 'install-update'],install-update,,,closed,2016-01-25 02:53:00+00:00,2016-01-25 09:48:57+00:00,6.9325,jguerin,1,1,microsoft/vscode,hours,install-update,0.1536,debug,0.0565,javascript,0.0456,3520,0.7838,510,0.781,311598,0.7791,vsc-hours-install-update,pending,"The app should request admin privileges if the user is not an admin. 

Otherwise, the installer gives up:

[CODE_BLOCK]

Once VS Code comes back up, the UI keeps prompting for an update."
142894559,4602,"Fixes --locale switch incorrect for Simplified Chinese, should be zh-cn not zh-ch",,['bug' 'verified' 'l10n-platform' 'candidate'],l10n-platform,bug,,closed,2016-03-23 08:25:23+00:00,2016-03-23 08:27:26+00:00,0.034166666666666665,dbaeumer,1,1,microsoft/vscode,hours,l10n-platform,0.1271,suggest,0.0562,accessibility,0.0473,4589,0.7969,312073,0.7493,330,0.7267,vsc-hours-l10n-platform,pending,
130783986,2649,Fixes to C++ and C syntax,,['languages-basic'],languages-basic,,,closed,2016-02-02 19:07:51+00:00,2016-02-03 14:59:05+00:00,19.85388888888889,xaverh,2,1,microsoft/vscode,hours,languages-basic,0.0799,css-less-scss,0.0579,suggest,0.0576,145,0.7478,405,0.7285,1457,0.728,vsc-hours-languages-basic,pending,"alignof and alignas are now C++ keywords.
friend and override as well as the method modifier const are now C++ only.
.H headers are now associated with C++."
4306706140,311836,Use real streaming for loading webview resources,,['verification-needed' 'webview' 'perf' 'insiders-released'],perf,,,closed,2026-04-22 04:32:33+00:00,2026-04-22 17:28:41+00:00,12.935555555555556,mjbvz,2,1,microsoft/vscode,hours,suggest,0.0558,accessibility,0.0557,debug,0.0539,311844,0.8888,312490,0.7263,312020,0.6913,vsc-hours-perf,pending,"Let's see if we can speed up webview perf by using proper streams to load resources

Right now we instead have to read the entire resource in to a buffer and then send that large buffer over. That's especially bad for large resources such as video files"
4292467329,311284,Fix disposed SCM source control retention,,['scm'],scm,,,closed,2026-04-20 00:43:02+00:00,2026-04-20 12:01:00+00:00,11.299444444444445,roblourens,1,1,microsoft/vscode,hours,tasks,0.0774,git,0.0711,api,0.0682,311282,0.8865,311990,0.75,312211,0.7338,vsc-hours-scm,pending,"This fixes an extension-host SCM bookkeeping leak where disposed source controls remained reachable from [INLINE_CODE] after they had been unregistered from the main thread.

Disposed source controls are now removed from both handle-based and extension-based bookkeeping when [INLINE_CODE] fires. Thi"
4319472929,312260,run_in_terminal returns partial output for multi-line POSIX commands (RichExecuteStrategy resolves on first onCommandFinished),"```ts
Event.toPromise(this._commandDetection.onCommandFinished, store).then(e => { ... })
```",['bug' 'verified' 'terminal' 'insiders-released' 'chat'],terminal,bug,,closed,2026-04-23 23:32:54+00:00,2026-04-24 03:11:53+00:00,3.649722222222222,meganrogge,1,1,microsoft/vscode,hours,api,0.0708,tasks,0.0604,editor-find,0.054,312263,0.8137,312853,0.7817,312383,0.7743,vsc-hours-terminal,pending,"## Summary

When the chat agent pastes a multi-line POSIX command via [INLINE_CODE] (for example a [INLINE_CODE] heredoc or a small [INLINE_CODE] script), the tool returns to the model after only the first line has run. The remaining lines continue executing in the terminal unattended while the agen"
140715439,4191,[themes] Inconsistent coloring of CSS rules values,,['bug' 'verified' 'themes'],themes,bug,,closed,2016-03-14 15:55:46+00:00,2016-03-15 15:53:24+00:00,23.960555555555555,aeschli,6,1,microsoft/vscode,hours,themes,0.1701,css-less-scss,0.1491,ux,0.0811,1283,0.8174,4251,0.8082,3534,0.8072,vsc-hours-themes,pending,"- Switch to the Dark+ default theme
- open a CSS file:
 ![image](https://cloud.githubusercontent.com/assets/6461412/13750321/3f25dbc0-ea05-11e5-9962-8b33878292ed.png)
- Open a LESS file:
 ![image](https://cloud.githubusercontent.com/assets/6461412/13750226/ddb12caa-ea04-11e5-878a-f2d28b2b14d5.png)
 "
