id,number,title,body_clean,code_blocks,labels_raw,component,type,priority,state,created_at,closed_at,resolution_hours,author,num_comments,num_assignees,repo,res_bucket,tfidf_top1,tfidf_top1_conf,tfidf_top2,tfidf_top2_conf,tfidf_top3,tfidf_top3_conf,bge_similar_1,bge_similar_1_score,bge_similar_2,bge_similar_2_score,bge_similar_3,bge_similar_3_score,stratum,label_status,body_excerpt,label_decision,label_rejection_code,corrected_component,labeler_notes
4284795911,311074,[Error] Cannot read properties of undefined (reading 'search'),"## Error Message
[CODE_BLOCK]`

## Stack Trace
&nbsp;&nbsp;&nbsp;&nbsp;at HQ.openSearch ([./src/vs/browser/extensionsWorkbenchService.ts:1616:0](https://github.com/microsoft/vscode/blob/41dd792b5e652393e7787322889ed5fdc58bd75b/src/vs/browser/extensionsWorkbenchService.ts#L1616))

<details>
<summary>Raw Stack Trace (minified)</summary>

[CODE_BLOCK]`

</details>

## Details
| Property | Value |
| --- | --- |
| Bucket ID | [[INLINE_CODE]](https://errors.code.visualstudio.com/bucket/7c2ea738-a655-7a00-ae2d-e6bd8343104a?product=Agents&commit=41dd792b5e652393e7787322889ed5fdc58bd75b) |
| Version | 1.115.0-insider |
| Commit | [[INLINE_CODE]](https://insiders.vscode.dev/github/microsoft/vscode/tree/41dd792b5e652393e7787322889ed5fdc58bd75b) |
| Last Seen | Fri Apr 10 2026 18:06:11 GMT+0000 (Coordinated Universal Time) |
| Platforms | Windows, Mac |
| Product | Agents |

---
*This issue was automatically created from the VS Code Errors Dashboard*","````
Cannot read properties of undefined (reading 'search')
```

````
TypeError: Cannot read properties of undefined (reading 'search')     at HQ.openSearch (out/vs/sessions/sessions.desktop.main.js:2850:26029)
```",['bug' 'error-telemetry' 'agents'],error-telemetry,bug,,closed,2026-04-17 19:15:14+00:00,2026-04-17 20:04:46+00:00,0.8255555555555556,vs-code-engineering[bot],0,1,microsoft/vscode,hours,error-telemetry,0.6696,typescript,0.019,suggest,0.0183,311073,0.8625,311558,0.857,311695,0.8482,vsc-hours-error-telemetry,pending,"## Error Message
[CODE_BLOCK]`

## Stack Trace
&nbsp;&nbsp;&nbsp;&nbsp;at HQ.openSearch ([./src/vs/browser/extensionsWorkbenchService.ts:1616:0](https://github.com/microsoft/vscode/blob/41dd792b5e652393e7787322889ed5fdc58bd75b/src/vs/browser/extensionsWorkbenchService.ts#L1616))

<details>
<summary>",reject,bot,,Author 'vs-code-engineering[bot]'; body explicitly states 'This issue was automatically created from the VS Code Errors Dashboard.'
4292467329,311284,Fix disposed SCM source control retention,"This fixes an extension-host SCM bookkeeping leak where disposed source controls remained reachable from [INLINE_CODE] after they had been unregistered from the main thread.

Disposed source controls are now removed from both handle-based and extension-based bookkeeping when [INLINE_CODE] fires. This allows disposed Git repositories and their refs/history/artifact state to be collected instead of staying alive through stale SCM provider references.

Fixes #311282

Validation:
- [INLINE_CODE] task output was clean for Core Transpile, Core Typecheck, Ext Build, and Copilot Build.
- Focused unit test passed: [INLINE_CODE].
- Hygiene passed for the changed TypeScript files with only the existing TypeScript-version warning from [INLINE_CODE].

(Written by Copilot)",,['scm'],scm,,,closed,2026-04-20 00:43:02+00:00,2026-04-20 12:01:00+00:00,11.299444444444443,roblourens,1,1,microsoft/vscode,hours,tasks,0.0774,git,0.0711,api,0.0682,311282,0.8865,311990,0.75,312211,0.7338,vsc-hours-scm,pending,"This fixes an extension-host SCM bookkeeping leak where disposed source controls remained reachable from [INLINE_CODE] after they had been unregistered from the main thread.

Disposed source controls are now removed from both handle-based and extension-based bookkeeping when [INLINE_CODE] fires. Thi",accept,,,"PR body ends with '(Written by Copilot)' -- author roblourens is a real maintainer submitting the PR, so treated as human-authored, but flagging the AI-drafted description for awareness."
4299616326,311578,[Error Telemetry] Suppress 'Cloud agent not enabled' from Agents error reporting,"## Error Buckets\n\n| Bucket ID | Users | Hits |\n|-----------|-------|------|\n| [INLINE_CODE] | 29 | 50 |\n| [INLINE_CODE] | 1 | 1 |\n\n**Error:** [INLINE_CODE]\n**Version:** 98b4d3e2 (1.117.0-insider, Apr 14)\n\n### Proposal\nThis is a user configuration error (user hasn't enabled cloud agent for their repo). The telemetry instrumentation should suppress this expected condition from being reported as an unhandled error.\n\n### Stack\n[CODE_BLOCK]\n\n_Auto-created by error telemetry scan._",```\nchatagenterror-Cloud agent is not enabled for this repository. You may need to enable it in [GitHub settings].\n```,['bug' 'error-telemetry' 'agents'],error-telemetry,bug,,closed,2026-04-21 01:06:02+00:00,2026-04-21 01:33:39+00:00,0.4602777777777778,bryanchen-d,1,1,microsoft/vscode,hours,error-telemetry,0.1067,suggest,0.0606,debug,0.0521,311575,0.9079,311577,0.9046,311574,0.8966,vsc-hours-error-telemetry,pending,"## Error Buckets\n\n| Bucket ID | Users | Hits |\n|-----------|-------|------|\n| [INLINE_CODE] | 29 | 50 |\n| [INLINE_CODE] | 1 | 1 |\n\n**Error:** [INLINE_CODE]\n**Version:** 98b4d3e2 (1.117.0-insider, Apr 14)\n\n### Proposal\nThis is a user configuration error (user hasn't enabled cloud agent for",reject,bot,,"Body ends '_Auto-created by error telemetry scan._' -- despite a human-looking author name (bryanchen-d), the issue itself is bot/scan-generated, not human-authored."
4306706140,311836,Use real streaming for loading webview resources,"Let's see if we can speed up webview perf by using proper streams to load resources

Right now we instead have to read the entire resource in to a buffer and then send that large buffer over. That's especially bad for large resources such as video files",,['verification-needed' 'webview' 'perf' 'insiders-released'],perf,,,closed,2026-04-22 04:32:33+00:00,2026-04-22 17:28:41+00:00,12.935555555555556,mjbvz,2,1,microsoft/vscode,hours,suggest,0.0558,accessibility,0.0557,debug,0.0539,311844,0.8888,312490,0.7263,312020,0.6913,vsc-hours-perf,pending,"Let's see if we can speed up webview perf by using proper streams to load resources

Right now we instead have to read the entire resource in to a buffer and then send that large buffer over. That's especially bad for large resources such as video files",accept,,,
4308268043,311878,Avoid computing and storing commands to skip shell per terminal instance,"I noticed this inefficiency:

https://github.com/microsoft/vscode/blob/200fb2ed1db2556b3da5a524d4d418835bd9de39/src/vs/workbench/contrib/terminal/browser/terminalInstance.ts#L1962-L1967

Currently this will compute and store [INLINE_CODE] per terminal instance when really this should be shared across instances. It also does a filter/map/concat which isn't particularly optimized.

I recommend the following:

- Move [INLINE_CODE] into [INLINE_CODE] to be shared across instances, expose as something like [INLINE_CODE]
- Use a [INLINE_CODE] over [INLINE_CODE] for faster lookup as this is used repeatedly, the [INLINE_CODE] used in [INLINE_CODE] is O(n) atm
- Avoid functional array functions to use imperative to have more control over creating and GCing a bunch of arrays as this will be run on startup

@anthonykim1",,['debt' 'terminal' 'insiders-released'],terminal,,,closed,2026-04-22 10:14:09+00:00,2026-04-22 13:50:01+00:00,3.597777777777778,Tyriar,1,1,microsoft/vscode,hours,api,0.0859,error-telemetry,0.0749,tasks,0.051,438,0.7834,1037,0.7808,2575,0.7751,vsc-hours-terminal,pending,"I noticed this inefficiency:

https://github.com/microsoft/vscode/blob/200fb2ed1db2556b3da5a524d4d418835bd9de39/src/vs/workbench/contrib/terminal/browser/terminalInstance.ts#L1962-L1967

Currently this will compute and store [INLINE_CODE] per terminal instance when really this should be shared acros",accept,,,
4319472929,312260,run_in_terminal returns partial output for multi-line POSIX commands (RichExecuteStrategy resolves on first onCommandFinished),"## Summary

When the chat agent pastes a multi-line POSIX command via [INLINE_CODE] (for example a [INLINE_CODE] heredoc or a small [INLINE_CODE] script), the tool returns to the model after only the first line has run. The remaining lines continue executing in the terminal unattended while the agent moves on, causing empty/partial output, wasted follow-up turns, and incorrect patches.

## Root cause

[[INLINE_CODE]](https://github.com/microsoft/vscode/blob/main/src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/executeStrategy/richExecuteStrategy.ts) resolves on the **first** [INLINE_CODE] shell-integration marker:

[CODE_BLOCK]

Shell integration fires one marker per top-level statement. For a multi-line submission this means the strategy returns after line 1, even though the combined submission is logically a single tool call. Input detection in [INLINE_CODE] is unaffected (it reads the PTY directly), so interactive prompts still surface — but command completion semantics are wrong.

### When was this introduced?

The behavior has been present since the rich execute strategy was first wired up to shell integration in commit [INLINE_CODE] ""Get rich strat working"" (2025-07-14) and [INLINE_CODE] ""Use command detection output and exit code"". It was masked in practice by the nohup-compound corruption (#312202) for background commands; with that fixed, multi-line foreground heredocs now dominate the failure signal.

## Impact

Observed on eval run [INLINE_CODE] (terminalbench2, vscode agent). At least 8 of 25 failing instances trace directly to this bug, including:

- [INLINE_CODE], [INLINE_CODE], [INLINE_CODE], [INLINE_CODE], [INLINE_CODE], [INLINE_CODE], [INLINE_CODE], [INLINE_CODE]

Each of those produced an empty or near-empty patch ([INLINE_CODE]) after burning the model's token budget on spurious system-initiated follow-up turns triggered by early command completion.","```ts
Event.toPromise(this._commandDetection.onCommandFinished, store).then(e => { ... })
```",['bug' 'verified' 'terminal' 'insiders-released' 'chat'],terminal,bug,,closed,2026-04-23 23:32:54+00:00,2026-04-24 03:11:53+00:00,3.649722222222222,meganrogge,1,1,microsoft/vscode,hours,api,0.0708,tasks,0.0604,editor-find,0.054,312263,0.8137,312853,0.7817,312383,0.7743,vsc-hours-terminal,pending,"## Summary

When the chat agent pastes a multi-line POSIX command via [INLINE_CODE] (for example a [INLINE_CODE] heredoc or a small [INLINE_CODE] script), the tool returns to the model after only the first line has run. The remaining lines continue executing in the terminal unattended while the agen",accept,,,
4325240002,312423,"Accessibility: Add verbosity setting, aria label hint, and keyboard shortcut to focus terminal from question carousel","## Feature Request

When the [INLINE_CODE] tool renders a question carousel triggered by a terminal interaction, users need accessible ways to navigate back to the terminal. Currently the ""Focus Terminal"" button is click-only with no keyboard shortcut, no keybinding hint in the aria label, and no verbosity setting to control the hint.

## Proposed Changes

### 1. Verbosity setting
Add [INLINE_CODE] (boolean, default [INLINE_CODE]) to control whether the carousel's aria label includes navigation hints (e.g., how to focus the terminal).

### 2. Keyboard shortcut
Register a new action [INLINE_CODE] with keybinding [INLINE_CODE], scoped to:
- [INLINE_CODE]
- [INLINE_CODE]
- [INLINE_CODE] (new context key, set when the carousel has a [INLINE_CODE])

This ensures the keybinding only activates when there's actually a terminal to focus.

### 3. Aria label with keybinding hint
- The Focus Terminal button's [INLINE_CODE] should include the keybinding: e.g., ""Focus Terminal (Alt+T)""
- When verbosity is enabled and the carousel has a terminal, [INLINE_CODE] should append a hint: ""Use Alt+T to focus the terminal.""",,"['feature-request' 'verified' 'accessibility' 'verification-needed'
 'insiders-released']",accessibility,feature-request,,closed,2026-04-24 19:56:24+00:00,2026-04-24 21:01:59+00:00,1.0930555555555554,meganrogge,5,1,microsoft/vscode,hours,accessibility,0.1155,keybindings,0.08,api,0.0597,312429,0.9629,2145,0.7573,3643,0.733,vsc-hours-accessibility,pending,"## Feature Request

When the [INLINE_CODE] tool renders a question carousel triggered by a terminal interaction, users need accessible ways to navigate back to the terminal. Currently the ""Focus Terminal"" button is click-only with no keyboard shortcut, no keybinding hint in the aria label, and no ve",accept,,,
4336281471,312766,Bump postcss from 8.5.8 to 8.5.12 in /test/monaco,"Bumps [postcss](https://github.com/postcss/postcss) from 8.5.8 to 8.5.12.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/postcss/postcss/releases"">postcss's releases</a>.</em></p>
<blockquote>
<h2>8.5.12</h2>
<ul>
<li>Fixed reading any file via user-generated CSS.</li>
<li>Added <code>opts.unsafeMap</code> to disable checks.</li>
</ul>
<h2>8.5.11</h2>
<ul>
<li>Fixed nested brackets parsing performance (by <a href=""https://github.com/offset""><code>@​offset</code></a>).</li>
</ul>
<h2>8.5.10</h2>
<ul>
<li>Fixed XSS via unescaped <code>&lt;/style&gt;</code> in non-bundler cases (by <a href=""https://github.com/TharVid""><code>@​TharVid</code></a>).</li>
</ul>
<h2>8.5.9</h2>
<ul>
<li>Speed up source map encoding paring in case of the error.</li>
</ul>
</blockquote>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/postcss/postcss/blob/main/CHANGELOG.md"">postcss's changelog</a>.</em></p>
<blockquote>
<h2>8.5.12</h2>
<ul>
<li>Fixed reading any file via user-generated CSS.</li>
<li>Added <code>opts.unsafeMap</code> to disable checks.</li>
</ul>
<h2>8.5.11</h2>
<ul>
<li>Fixed nested brackets parsing performance (by <a href=""https://github.com/offset""><code>@​offset</code></a>).</li>
</ul>
<h2>8.5.10</h2>
<ul>
<li>Fixed XSS via unescaped <code>&lt;/style&gt;</code> in non-bundler cases (by <a href=""https://github.com/TharVid""><code>@​TharVid</code></a>).</li>
</ul>
<h2>8.5.9</h2>
<ul>
<li>Speed up source map encoding paring in case of the error.</li>
</ul>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/postcss/postcss/commit/9bc81c48f054a630c9a2e3868263b7ad4fc15013""><code>9bc81c4</code></a> Release 8.5.12 version</li>
<li><a href=""https://github.com/postcss/postcss/commit/85c4d7dab830be366f8a96047f9e5b7944e101d8""><code>85c4d7d</code></a> Another try to fix coverage</li>
<li><a href=""https://github.com/postcss/postcss/commit/94484cae6d4308167939f2ac888d166bd80dff01""><code>94484ca</code></a> Try to fix coverage</li>
<li><a href=""https://github.com/postcss/postcss/commit/c64b7488d2731dfa16213739b42c34faf5a9eba3""><code>c64b748</code></a> Load only .map source maps</li>
<li><a href=""https://github.com/postcss/postcss/commit/aaec7b78b3ce2792585b4b300ef1bd5dd5b3e8ad""><code>aaec7b7</code></a> Avoid throwing JSON parsing errors for non-JSON source maps</li>
<li><a href=""https://github.com/postcss/postcss/commit/233fb264ea4c37f9e2d7b64b2726e6d23fd02327""><code>233fb26</code></a> Mention original author of the solution</li>
<li><a href=""https://github.com/postcss/postcss/commit/2502f750307acde733a39f9dfd4ef3cf6c6b734d""><code>2502f75</code></a> Release 8.5.11 version</li>
<li><a href=""https://github.com/postcss/postcss/commit/5ca19019495b3fa08205f5fd2eeed57892f9fa3d""><code>5ca1901</code></a> Speed up parsing many nested brackets</li>
<li><a href=""https://github.com/postcss/postcss/commit/42b5337dd7e2fa9a03566495cfad2737eb19e712""><code>42b5337</code></a> Update dependencies</li>
<li><a href=""https://github.com/postcss/postcss/commit/7e36e153d075ef56ebc352f298b65f646c700a06""><code>7e36e15</code></a> Cache node.raws locally in Stringifier hot methods</li>
<li>Additional commits viewable in <a href=""https://github.com/postcss/postcss/compare/8.5.8...8.5.12"">compare view</a></li>
</ul>
</details>
<br />

[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=postcss&package-manager=npm_and_yarn&previous-version=8.5.8&new-version=8.5.12)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting [INLINE_CODE].

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- [INLINE_CODE] will rebase this PR
- [INLINE_CODE] will recreate this PR, overwriting any edits that have been made to it
- [INLINE_CODE] will show all of the ignore conditions of the specified dependency
- [INLINE_CODE] will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- [INLINE_CODE] will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- [INLINE_CODE] will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/microsoft/vscode/network/alerts).

</details>",,['javascript' 'dependencies'],javascript,,,closed,2026-04-27 13:56:30+00:00,2026-04-27 16:20:00+00:00,2.3916666666666666,dependabot[bot],0,1,microsoft/vscode,hours,javascript,0.1396,suggest,0.0583,css-less-scss,0.0491,312410,0.9386,312573,0.9337,312031,0.7473,vsc-hours-javascript,pending,"Bumps [postcss](https://github.com/postcss/postcss) from 8.5.8 to 8.5.12.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/postcss/postcss/releases"">postcss's releases</a>.</em></p>
<blockquote>
<h2>8.5.12</h2>
<ul>
<li>Fixed reading any file via user-genera",reject,bot,,Author 'dependabot[bot]'; automated dependency-bump PR (postcss).
146228760,5007,Cannot read property 'document' of null,Issue Id: <b>098051f7-8a68-a04d-fe08-5331e1befd6f</b><br /><br />_Versions_ <br />\- 0.10.13-insider<br />\- 17fa1cbb49e3c5edd5868f304a64115fcc7c9c2c<br />_Stack_ <br />TypeError: Cannot read property 'document' of null<br /> at extensions\ms-vscode.cpptools-0.4.1\out\src\C_Cpp.js:59:24 <no sourcemaps><br />[vs/workbench/node/pluginHostProcess.js#L4:7](https://github.com/microsoft/vscode/blob/43ff6af3d4564f59196caa9be4897fc33c15f24c/srcvs/workbench/node/pluginHostProcess.js#L4:7)<br />[vs/workbench/node/pluginHostProcess.js#L4:7](https://github.com/microsoft/vscode/blob/43ff6af3d4564f59196caa9be4897fc33c15f24c/srcvs/workbench/node/pluginHostProcess.js#L4:7)<br />[vs/workbench/node/pluginHostProcess.js#L4:7](https://github.com/microsoft/vscode/blob/43ff6af3d4564f59196caa9be4897fc33c15f24c/srcvs/workbench/node/pluginHostProcess.js#L4:7)<br />[vs/workbench/node/pluginHostProcess.js#L4:7](https://github.com/microsoft/vscode/blob/43ff6af3d4564f59196caa9be4897fc33c15f24c/srcvs/workbench/node/pluginHostProcess.js#L4:7)<br />[vs/workbench/node/pluginHostProcess.js#L4:7](https://github.com/microsoft/vscode/blob/43ff6af3d4564f59196caa9be4897fc33c15f24c/srcvs/workbench/node/pluginHostProcess.js#L4:7)<br />[vs/workbench/node/pluginHostProcess.js#L4:7](https://github.com/microsoft/vscode/blob/43ff6af3d4564f59196caa9be4897fc33c15f24c/srcvs/workbench/node/pluginHostProcess.js#L4:7)<br /> at doNTCallback0 (node.js:420:9)<br /> at process._t<br />,,['error-telemetry'],error-telemetry,,,closed,2016-04-06 08:13:37+00:00,2016-04-08 16:32:30+00:00,56.31472222222222,vscodeerrors,3,1,microsoft/vscode,days,error-telemetry,0.4615,api,0.0376,debug,0.0356,2244,0.8594,648,0.8449,4572,0.8394,vsc-days-error-telemetry,pending,Issue Id: <b>098051f7-8a68-a04d-fe08-5331e1befd6f</b><br /><br />_Versions_ <br />\- 0.10.13-insider<br />\- 17fa1cbb49e3c5edd5868f304a64115fcc7c9c2c<br />_Stack_ <br />TypeError: Cannot read property 'document' of null<br /> at extensions\ms-vscode.cpptools-0.4.1\out\src\C_Cpp.js:59:24 <no sourcema,reject,bot,,"Author 'vscodeerrors' is VS Code's automated error-telemetry issue filer; body is a templated auto-generated crash dump (Issue Id/Versions/Stack), not human-authored."
2836292767,239838,VSCode freezes when opening a terminal,"Does this issue occur when all extensions are disabled? **Yes**

- VS Code Version: 
Version: 1.97.0 (user setup)
Commit: 33fc5a94a3f99ebe7087e8fe79fbe1d37a251016
Date: 2025-02-04T22:41:26.688Z
Electron: 32.2.7
ElectronBuildId: 10660205
Chromium: 128.0.6613.186
Node.js: 20.18.1
V8: 12.8.374.38-electron.0
OS: Windows_NT x64 10.0.19045

Steps to Reproduce:

1. Open VSCode
2. Run update 1.97.0
3. Open a project folder (TypeScript project)

This issue makes VSCode completely unusable.

![Image](https://github.com/user-attachments/assets/6066fc2e-1677-4684-b431-ef5109b695d6)",,"['important' 'freeze-slow-crash-leak' 'candidate' 'terminal' 'gpu'
 'unreleased']",terminal,,,closed,2025-02-06 18:30:33+00:00,2025-02-12 13:10:02+00:00,138.65805555555556,anrikun,82,3,microsoft/vscode,days,electron,0.0721,install-update,0.0692,typescript,0.067,311834,0.8514,312633,0.8328,311145,0.8318,vsc-days-terminal,pending,"Does this issue occur when all extensions are disabled? **Yes**

- VS Code Version: 
Version: 1.97.0 (user setup)
Commit: 33fc5a94a3f99ebe7087e8fe79fbe1d37a251016
Date: 2025-02-04T22:41:26.688Z
Electron: 32.2.7
ElectronBuildId: 10660205
Chromium: 128.0.6613.186
Node.js: 20.18.1
V8: 12.8.374.38-elect",accept,,,
